index,name,group,tvgId,streamUrl,status,savedPath,sourceUrl,imageFormat,width,height,bytes,candidatesTried,reason
955,VF История,Filme,5204,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/13091/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0955-vf-история.png,http://iptvx.one/picons/vf-istorya.png,png,200,200,28258,4,
956,VF Криминал,Filme,5206,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/13093/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0956-vf-криминал.png,http://iptvx.one/picons/vf-kriminal.png,png,200,200,22329,4,
957,VF Клиника,Filme,5207,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/13094/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0957-vf-клиника.png,http://epg.one/img/5207.png,png,165,165,27643,3,
958,VF Луи де Фюнес,Filme,6144,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/17000/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0958-vf-луи-де-фюнес.png,http://iptvx.one/picons/vf-luidefunes.png,png,200,200,15638,4,
959,VF Чернобыль,Filme,6145,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/17001/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0959-vf-чернобыль.png,http://iptvx.one/picons/vf-chernobyl.png,png,200,200,18849,4,
960,VF Сверхъестественное,Filme,6147,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/17003/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0960-vf-сверхъестественное.png,http://iptvx.one/picons/vf-supernatural.png,png,200,200,19103,4,
961,VF Леонид Гайдай,Filme,6148,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/17004/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0961-vf-леонид-гаидаи.png,http://iptvx.one/picons/vf-gaidai.png,png,200,200,16068,4,
962,VF Американская история ужасов,Filme,6149,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/17005/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0962-vf-американская-история-ужасов.png,http://iptvx.one/picons/vf-ahs.png,png,200,200,25251,4,
963,VF Друзья,Filme,6150,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/17006/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0963-vf-друзья.png,http://iptvx.one/picons/vf-friends.png,png,200,200,19202,4,
964,VF СашаТаня,Filme,6151,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/17008/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0964-vf-сашатаня.png,http://iptvx.one/picons/vf-sashatania.png,png,200,200,16616,4,
965,VF Джеки Чан,Filme,6152,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/17009/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0965-vf-джеки-чан.png,http://iptvx.one/picons/vf-dzhekichan.png,png,200,200,15652,4,
966,VF Наша Раша,Filme,6153,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/17010/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0966-vf-наша-раша.png,http://iptvx.one/picons/vf-pobeda.png,png,200,200,18726,6,
967,VF Привет из 90х,Filme,6154,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/17011/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0967-vf-привет-из-90х.png,http://iptvx.one/picons/vf-90e.png,png,200,200,15502,4,
968,VF Эльдар Рязанов,Filme,6155,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/17012/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0968-vf-эльдар-рязанов.png,http://iptvx.one/picons/vf-ryazanov.png,png,200,200,17755,4,
969,VF Универ новая общага,Filme,6156,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/17013/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0969-vf-универ-новая-общага.png,http://iptvx.one/picons/vf-univer.png,png,200,200,27110,6,
970,VF Ходячие мертвецы,Filme,6157,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/17014/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0970-vf-ходячие-мертвецы.png,http://iptvx.one/picons/vf-walkingdead.png,png,200,200,17155,4,
971,VF Реальные пацаны,Filme,6158,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/17015/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0971-vf-реальные-пацаны.png,http://iptvx.one/picons/vf-realnyepacany.png,png,200,200,19571,4,
972,VF Доктор Хаус,Filme,6159,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/17016/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0972-vf-доктор-хаус.png,http://iptvx.one/picons/vf-housemd.png,png,200,200,21230,4,
973,VF Без цензуры,Filme,6160,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/17017/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0973-vf-без-цензуры.png,http://iptvx.one/picons/vf-bezcenzury.png,png,200,200,16104,4,
974,VF Городок,Filme,6226,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/18097/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0974-vf-городок.png,http://iptvx.one/picons/vf-gorodok.png,png,200,200,12110,4,
975,VF Игра престолов,Filme,6323,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/18119/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0975-vf-игра-престолов.png,http://iptvx.one/picons/vf-igraprestolov.png,png,200,200,14573,5,
976,VF Одесская киностудия,Filme,6324,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/18120/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0976-vf-одесская-киностудия.png,http://iptvx.one/picons/vf-odesskayakinostudia.png,png,200,200,26017,4,
977,VF Ленфильм,Filme,6325,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/18121/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0977-vf-ленфильм.png,http://iptvx.one/picons/vf-lenfilm.png,png,200,200,18319,4,
978,VF Киностудия им. Горького,Filme,6326,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/18122/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0978-vf-киностудия-им-горького.png,http://iptvx.one/picons/vf-kinostudiagorkogo.png,png,200,200,26244,4,
979,VF Рижская киностудия,Filme,6327,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/18123/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0979-vf-рижская-киностудия.png,http://iptvx.one/picons/vf-rigakinostudia.png,png,200,200,26647,4,
980,VF Свердловская киностудия,Filme,6328,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/18124/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0980-vf-свердловская-киностудия.png,http://iptvx.one/picons/vf-sverdlovskkinostudia.png,png,200,200,28410,4,
981,VF Беларусьфильм,Filme,6329,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/18125/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0981-vf-беларусьфильм.png,http://iptvx.one/picons/vf-belarusfilm.png,png,200,200,18805,4,
982,Yosso TV Русские Фильмы,Filme,5999,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/14174/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0982-yosso-tv-русские-фильмы.png,http://iptvx.one/picons/c-cartoon.png,png,200,200,21333,8,
983,Yosso TV New Кино,Filme,5738,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/14177/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0983-yosso-tv-new-кино.png,http://epg.pw/media/images/epg/2024/06/08/20240608020423003848_68.png,png,200,200,22768,8,
984,Yosso TV Трагичное,Filme,111896,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/14219/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0984-yosso-tv-трагичное.png,http://epg.pw/media/images/epg/2024/06/08/20240608035956881378_62.png,png,200,200,23831,8,
985,Yosso TV Забавное,Filme,7717,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/14234/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0985-yosso-tv-забавное.png,http://epg.pw/media/images/epg/2024/06/08/20240608035542734659_90.png,png,200,200,23845,8,
986,Yosso TV Ковбойское,Filme,123021,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/14235/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0986-yosso-tv-ковбоиское.png,http://epg.pw/media/images/epg/2024/06/08/20240608021033555619_65.png,png,200,200,25394,8,
987,Yosso TV Мелодрама,Filme,34270,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19434/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0987-yosso-tv-мелодрама.png,http://iptvx.one/picons/c-cartoon.png,png,200,200,21333,8,
988,Yosso TV Советские Фильмы 4K,Filme,6051,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19435/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0988-yosso-tv-советские-фильмы-4k.png,http://iptvx.one/picons/yosso-sovfilm.png,png,200,200,19906,8,
989,Твое ТВ HD,Filme,5441,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/14229/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0989-твое-тв-hd.png,http://iptvx.one/picons/tvoyo-tv-hd.png,png,200,200,47295,6,
990,Liberty Ужасы 4K,Filme,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/15088/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0990-liberty-ужасы-4k.png,http://iptvx.one/picons/liberty-uzhasy-4k-hdr.png,png,200,200,13383,3,
991,Liberty Триллеры 4K,Filme,445858,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/15089/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0991-liberty-триллеры-4k.png,http://epg.pw/media/images/epg/2025/07/19/20250719021058344363_32.png,png,200,200,12570,5,
992,Liberty Марвел FHD,Filme,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/15090/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0992-liberty-марвел-fhd.png,http://epg.one/img/5519.png,png,165,165,10704,1,
993,Liberty Короткометражки FHD,Filme,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/15091/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0993-liberty-короткометражки-fhd.png,http://epg.one/img/5520.png,png,165,165,10998,1,
994,Liberty Мелодрамы FHD,Filme,445890,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/15095/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0994-liberty-мелодрамы-fhd.png,http://epg.pw/media/images/epg/2025/07/19/20250719021906391914_52.png,png,200,200,13893,5,
995,Liberty Боевики FHD,Filme,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/15096/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0995-liberty-боевики-fhd.png,http://iptvx.one/picons/liberty-boeviki-4k-hdr.png,png,200,200,13934,3,
996,Liberty Кино Микс 4K,Filme,445848,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/15110/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0996-liberty-кино-микс-4k.png,http://epg.pw/media/images/epg/2025/07/19/20250719020652583234_57.png,png,200,200,12750,8,
997,Liberty Симпсоны FHD,Filme,445925,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/15111/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0997-liberty-симпсоны-fhd.png,http://iptvx.one/picons/liberty-simpsons.png,png,200,200,17586,5,
998,Liberty Сваты FHD,Filme,445874,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/15164/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0998-liberty-сваты-fhd.png,http://epg.pw/media/images/epg/2025/07/19/20250719021442463244_80.png,png,200,200,10705,5,
999,Liberty Южный Парк FHD,Filme,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/16053/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/0999-liberty-южныи-парк-fhd.png,http://iptvx.one/picons/skycam-southpark.png,png,200,200,19573,2,
1000,Liberty Комедии FHD,Filme,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/16054/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/1000-liberty-комедии-fhd.png,http://iptvx.one/picons/liberty-komedii-4k-hdr.png,png,200,200,14037,3,
1001,Liberty Аниме FHD,Filme,445911,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/17029/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/1001-liberty-аниме-fhd.png,http://epg.pw/media/images/epg/2025/07/19/20250719022615795711_13.png,png,200,200,11203,5,
1002,Liberty Кино ENG 4K,Filme,445841,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/17060/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/1002-liberty-кино-eng-4k.png,http://iptvx.one/picons/liberty-kinomiks.png,png,200,200,12750,8,
1003,Liberty Мульт ENG 4K,Filme,445895,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/17061/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/1003-liberty-мульт-eng-4k.png,http://epg.pw/media/images/epg/2025/07/19/20250719022111176851_52.png,png,200,200,12729,8,
1004,Liberty Кино UKR 4K,Filme,445896,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/18045/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/1004-liberty-кино-ukr-4k.png,http://iptvx.one/picons/liberty-kinomiks.png,png,200,200,12750,8,
1005,Liberty РусФильм 4K,Filme,445914,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/18046/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/1005-liberty-русфильм-4k.png,http://epg.pw/media/images/epg/2025/07/19/20250719022701110466_60.png,png,200,200,13294,5,
1006,Liberty Индия 4K,Filme,445857,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/18160/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/1006-liberty-индия-4k.png,http://epg.pw/media/images/epg/2025/07/19/20250719020957389580_67.png,png,200,200,10531,5,
1007,Liberty Куб 4K,Filme,445871,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/18161/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/1007-liberty-куб-4k.png,http://epg.pw/media/images/epg/2025/07/19/20250719021359232949_98.png,png,200,200,10159,5,
1008,Liberty Семейный 4K,Filme,445861,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/18178/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/1008-liberty-семеиныи-4k.png,http://epg.pw/media/images/epg/2025/07/19/20250719021113980899_18.png,png,200,200,13421,5,
1009,Liberty Турк Фильм 4K,Filme,,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19303/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/1009-liberty-турк-фильм-4k.png,http://epg.one/img/6727.png,png,165,165,10672,1,
1010,Liberty Сказки FHD,Filme,445859,http://c137c781.rossteleccom.net/iptv/WLSHARFG8FUEKR/19304/index.m3u8,saved,output/channel-logos-moldovenesti-full-v2/logos/1010-liberty-сказки-fhd.png,http://epg.pw/media/images/epg/2025/07/19/20250719021107253202_63.png,png,200,200,11849,5,
